Section,Level,Question,Hint,Explanation,Solution
5.1,Easy,"What does it mean when light 'reflects' off an object?","Think about what happens when a ball bounces off a wall.","When light hits an object, it bounces back — this bouncing is called reflecting. The reflected light then travels to our eyes so we can see the object.","Light reflects means light bounces off an object."
5.1,Easy,"Can you see an object in a completely dark room? Why or why not?","Think about what your eyes need in order to see.","Our eyes need light to see. In a completely dark room there is no light to reflect off objects, so we cannot see anything.","No, because there is no light to reflect off the object into our eyes."
5.1,Easy,"What is a 'source of light'? Give two examples.","Think about things that make their own light.","A source of light is something that produces its own light. Examples include the Sun, a flashlight, a lamp, a candle, or a fire.","A source of light is something that gives out its own light. Examples: the Sun, a flashlight."
5.1,Easy,"How do we see things that are not sources of light?","Think about what happens to light when it hits an object like a book.","Objects that do not make their own light can still be seen because light from a source hits them and reflects off them into our eyes.","Light from a source travels to the object, reflects off it, and enters our eyes."
5.1,Easy,"In the box experiment, can you see the coin when the flashlight hole is covered? Why?","What happens when no light enters the box?","When you cover the flashlight hole, no light enters the box. Without light reflecting off the coin, there is nothing for your eyes to detect.","No, because no light can reach the coin to reflect off it into your eyes."
5.1,Easy,"In the box experiment, what happens when you shine the flashlight into the box?","Think about the path of light from the flashlight to the coin to your eye.","The flashlight sends light into the box. The light hits the coin and reflects off it. The reflected light travels through the viewing hole into your eye, so you can see the coin.","You can see the coin because light from the flashlight reflects off the coin into your eye."
5.1,Easy,"Fill in the blank: Light travels from the light ______ to the object.","What do we call something that gives out light?","The thing that gives out light is called a source. Light travels from the source to the object, then reflects into our eyes.","source"
5.1,Easy,"What are the two key vocabulary words for section 5.1?","One word means 'to bounce off' and the other means 'where something comes from'.","Reflect means light bounces off a surface. Source means where the light comes from.","Reflect and source."
5.1,Medium,"At night, a car's headlights are on. Explain how a person standing on the pavement can see the car.","Think about the path light takes: source → object → eyes.","The headlights are the light source. Light travels from the headlights and reflects off the car body. The reflected light enters the person's eyes, allowing them to see the car.","Light from the headlights (source) reflects off the car (object) and enters the person's eyes."
5.1,Medium,"Why can you see the Moon at night even though it is not a source of light?","The Moon does not make its own light, so where does the light come from?","The Moon reflects light from the Sun. Even though the Sun is not visible at night from our location, sunlight still reaches the Moon and bounces off it toward Earth and into our eyes.","The Moon reflects sunlight. The reflected sunlight travels to our eyes so we can see it."
5.1,Medium,"If you are in a dark room and someone turns on a lamp, explain the steps that allow you to see a book on the table.","Think about: source → object → eyes. What is the source, what is the object?","The lamp is the light source. Light travels from the lamp to the book. The light reflects off the book and enters your eyes. That is how you see the book.","Light travels from the lamp (source) to the book (object), reflects off the book, and enters your eyes."
5.1,Medium,"Why can't you see around corners, but you can see objects in a room lit by a lamp even if you are not facing the lamp directly?","Think about how light bounces off walls and objects.","Light from the lamp reflects off walls, the ceiling, and other surfaces in the room. These reflections bounce light in many directions, including toward your eyes, even if you are not looking at the lamp.","Light reflects off many surfaces in the room and reaches your eyes from different directions, even if you are not facing the lamp."
5.1,Medium,"A scientist puts a coin inside a dark box. She can look through a small hole but cannot see the coin. What should she do to see it, and why does this work?","What is missing inside the box?","She should shine a light into the box. The light will travel to the coin, reflect off it, and the reflected light will travel through the viewing hole into her eyes. Without light, nothing can reflect off the coin.","She should shine a flashlight into the box. The light reflects off the coin and into her eye through the viewing hole."
5.2,Easy,"Does light travel in straight lines or curved lines?","Think about sunbeams you see coming through a window.","Scientists have proven that light travels in straight lines. You can see this when sunbeams come through a gap — they always appear as straight lines.","Light travels in straight lines."
5.2,Easy,"What is a ray of light?","Think about a single narrow beam of light.","A ray is each narrow beam of light. Light rays travel from the source of light in all directions in straight lines until they hit something.","A ray is a narrow beam of light that travels in a straight line."
5.2,Easy,"Can light travel around corners?","Think about what happens when you try to see around a wall.","No, light cannot travel around corners because it travels in straight lines. This is why you cannot see around corners.","No, light travels in straight lines and cannot bend around corners."
5.2,Easy,"What is a ray diagram?","Think about a drawing that shows how light moves.","A ray diagram is a drawing that shows how light travels using straight lines for rays and arrows to show the direction the light is moving.","A ray diagram is a drawing that uses straight lines and arrows to show how light travels."
5.2,Easy,"In a ray diagram, what do the arrows show?","The arrows point somewhere — what do they tell you?","In a ray diagram, the arrows show the direction the light is moving — from the source to the object, and from the object to the eye.","The arrows show the direction the light is moving."
5.2,Easy,"What is the difference between an 'arriving ray' and a 'reflected ray'?","Think about what happens before and after light hits an object.","The arriving ray is the light travelling from the source to the object. The reflected ray is the light that bounces off the object and travels to our eyes.","The arriving ray goes from the light source to the object. The reflected ray bounces off the object toward our eyes."
5.2,Easy,"What does 'proof' mean in science?","Think about evidence that shows something is true.","In science, proof is evidence that shows something is true. Scientists use experiments and investigations to find proof for their ideas.","Proof is evidence that shows something is true."
5.2,Easy,"In the tube experiment, can your partner see light through a bent tube? Why?","Think about what happens to a straight line when you bend it.","No, your partner cannot see the light through a bent tube because light travels in straight lines. When the tube is bent, the light cannot follow the curve.","No, because light travels in straight lines and cannot bend to follow the curved tube."
5.2,Medium,"Why can you see a flashlight beam in a dusty room but not in a clean room?","Think about what the light hits in a dusty room.","In a dusty room, light rays hit the tiny dust particles floating in the air. The light reflects off the dust particles and enters your eyes, making the beam visible. In a clean room, there are fewer particles to reflect the light.","Light reflects off dust particles in the air, making the beam visible. In a clean room there are no particles to reflect the light."
5.2,Medium,"If you shine a flashlight at a mirror, draw or describe the ray diagram showing how the light reaches your eyes.","Think about: arriving ray hits mirror, then what happens?","The arriving ray travels from the flashlight to the mirror in a straight line. When it hits the mirror, it reflects and becomes a reflected ray. The reflected ray travels in a straight line to your eyes.","Arriving ray: flashlight → mirror (straight line). Reflected ray: mirror → eyes (straight line). Both rays are straight with arrows showing direction."
5.2,Medium,"Why do shadows have sharp edges on a sunny day?","Think about what kind of lines light travels in.","Because light travels in straight lines, when an object blocks the light, it creates a sharp, clear edge where the light stops and the shadow begins.","Light travels in straight lines, so the edge where the object blocks the light is sharp and clear."
5.2,Medium,"Explain why you can see your friend across the classroom but not someone hiding behind a bookshelf.","Think about the path light takes from your friend to your eyes.","Light reflects off your friend and travels in a straight line to your eyes, so you can see them. The person behind the bookshelf is blocked — the light reflecting off them cannot travel in a straight line to your eyes because the bookshelf is in the way.","Light travels in straight lines. The bookshelf blocks the straight-line path between the hidden person and your eyes."
5.3,Easy,"What kind of surface reflects light very well?","Think about what a mirror looks like — is it rough or smooth?","A smooth, shiny surface reflects light very well. That is why mirrors, which have smooth shiny surfaces, give the best reflections.","A smooth, shiny surface reflects light very well."
5.3,Easy,"What is an 'image' when talking about mirrors?","Think about what you see when you look in a mirror.","When you look in a mirror and see your face, that reflection of your face is called your image. It is the picture formed by light reflecting off the mirror.","An image is the reflection you see in a mirror, like seeing your face reflected back."
5.3,Easy,"What does 'absorb' mean when talking about light?","Think about the opposite of reflecting — where does the light go?","When a surface absorbs light, it takes in the light rather than bouncing it back. The light energy is soaked up by the surface instead of being reflected.","Absorb means the surface takes in the light instead of reflecting it."
5.3,Easy,"Do rough surfaces reflect light well or poorly?","Think about what you see when you look at a piece of wood — can you see your reflection?","Rough surfaces reflect light poorly because they absorb more light. That is why you cannot see your reflection in rough surfaces like wood or paper.","Rough surfaces reflect light poorly — they absorb more light."
5.3,Easy,"Can you see your reflection in a mirror? Can you see your reflection in a piece of wood?","Think about which surface is smoother and shinier.","You can see your reflection in a mirror because it has a smooth, shiny surface that reflects light very well. You cannot see your reflection in wood because it is rough and absorbs more light.","Yes, you can see your reflection in a mirror. No, you cannot see it in wood because wood is rough and absorbs light."
5.3,Easy,"Name three places where people use mirrors.","Think about mirrors in your home, on the road, or in a doctor's office.","Mirrors are used in many places: on bikes as rear-view mirrors, by dentists to see inside your mouth, and in shops to help staff see all areas of the store.","Riding a bike (rear-view mirror), at the dentist, and in shops."
5.3,Easy,"Do all objects reflect light?","Think about whether you can see all objects when there is light.","Yes, all objects reflect light. However, different surfaces reflect light differently — some reflect well (like mirrors) and some absorb more light (like rough surfaces).","Yes, all objects reflect light, but some reflect better than others."
5.3,Easy,"Put these surfaces in order from best reflection to worst reflection: wood, mirror, metal, paper.","Think about which surface is the smoothest and shiniest.","A mirror is very smooth and shiny, so it reflects best. Metal is also shiny. Paper is smoother than wood but not shiny. Wood is rough and absorbs the most light.","Mirror → metal → paper → wood."
5.3,Medium,"Why can a cyclist see cars behind them using a rear-view mirror on their bike?","Think about how light from the car reaches the mirror and then the cyclist's eyes.","Light reflects off the cars behind the cyclist. This light hits the rear-view mirror and reflects again into the cyclist's eyes. The mirror allows the cyclist to see objects behind them without turning around.","Light from the cars reflects off the rear-view mirror and into the cyclist's eyes, allowing them to see behind."
5.3,Medium,"A dentist uses a small mirror on a stick to look at the back of your teeth. Why does the mirror help?","Think about whether the dentist can see behind your teeth directly.","The dentist cannot see the back of your teeth directly because they are hidden. The small mirror reflects light from the back of your teeth to the dentist's eyes, so they can see areas they could not see without it.","The mirror reflects light from hidden areas of the teeth to the dentist's eyes, letting them see places they cannot see directly."
5.3,Medium,"Why can you sometimes see your reflection in a puddle of clear water but not in muddy water?","Think about the surface of clear water compared to muddy water.","Clear water has a relatively smooth surface that can reflect light well, like a mirror. Muddy water has particles in it that scatter and absorb the light, so the surface does not reflect as well and you cannot see a clear image.","Clear water has a smooth surface that reflects light well. Muddy water has particles that absorb and scatter light, giving a poor reflection."
5.3,Medium,"If you wanted to send a message to a friend using light, which surface would you use to reflect the flashlight beam — a piece of cardboard or a small mirror? Explain why.","Think about which surface reflects light better.","You would use the mirror because it has a smooth, shiny surface that reflects light very well. The cardboard is rough and would absorb most of the light rather than reflecting it toward your friend.","Use the mirror — it reflects light much better than cardboard because it has a smooth, shiny surface."
5.3,Medium,"Why does a new, shiny coin show your reflection but an old, dirty coin does not?","Think about what happens to the surface of a coin when it gets dirty.","A new coin has a smooth, shiny surface that reflects light well. An old, dirty coin has a rough, dull surface covered in grime that absorbs more light and scatters it, so you cannot see a clear reflection.","The new coin's smooth shiny surface reflects light well. The old coin's rough dirty surface absorbs more light and gives no clear reflection."
5.4,Easy,"What is at the centre of our solar system?","Think about the biggest and brightest object in our sky.","The Sun is at the centre of our solar system. All the planets, moons, comets, and asteroids orbit around it.","The Sun."
5.4,Easy,"How many planets orbit the Sun in our solar system?","Count them: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune.","There are eight planets in our solar system that orbit the Sun.","Eight planets."
5.4,Easy,"Is the Sun a star or a planet?","Think about what gives out its own light.","The Sun is a star. Stars give out their own light, while planets reflect the light of a star. The Sun gives out light and heat.","The Sun is a star."
5.4,Easy,"What is the difference between a star and a planet?","Think about which one makes its own light.","A star produces its own light and heat (like the Sun). A planet does not produce its own light — it reflects the light of a star.","A star gives out its own light. A planet reflects the light from a star."
5.4,Easy,"How long does the Earth take to orbit the Sun?","Think about how long one year is.","The Earth takes 365¼ days, which is one year, to complete one full orbit around the Sun.","365¼ days (one year)."
5.4,Easy,"How long does the Moon take to orbit the Earth?","Think about how long one month is.","The Moon takes 29 days (about one month) to complete its orbit around the Earth.","29 days (about one month)."
5.4,Easy,"What is an asteroid?","Think about small rocky objects in space.","An asteroid is a rocky mass that orbits the Sun. Asteroids are similar to planets but much smaller.","An asteroid is a rocky mass that orbits the Sun. It is like a planet but much smaller."
5.4,Easy,"Where are most asteroids found in our solar system?","Think about which two planets the asteroid belt is between.","Nearly all asteroids are found in the asteroid belt between Mars and Jupiter.","In the asteroid belt between Mars and Jupiter."
5.4,Easy,"What is a comet made of?","Think about something cold and dirty.","A comet is made of lumps of ice and dirt. Comets move in large orbits around the Sun and have long tails behind them.","Comets are made of lumps of ice and dirt."
5.4,Easy,"What does 'orbit' mean?","Think about going around and around something.","To orbit means to travel around something in a curved path. For example, the Earth orbits the Sun, and the Moon orbits the Earth.","Orbit means to travel around something in a curved path."
5.4,Easy,"Why can we see the Moon even though it is not a star?","Think about where the Moon gets its light from.","The Moon is not a star so it does not make its own light. We can see the Moon because it reflects the light of the Sun.","The Moon reflects the light of the Sun, and this reflected light reaches our eyes."
5.4,Easy,"How many moons does Earth have?","This is a simple fact from the chapter.","Earth has one moon, which we simply call 'the Moon'.","One."
5.4,Easy,"What is the name of the largest moon of Uranus?","This moon was mentioned in the chapter with a photograph.","The largest moon of Uranus is called Titania. It is also the eighth largest moon in the solar system.","Titania."
5.4,Medium,"Planet A takes 88 Earth days to orbit the Sun. Planet B takes 29.5 Earth years. Which planet is closer to the Sun? Explain.","Think about whether closer planets take more or less time to orbit.","Planet A is closer to the Sun because it takes much less time (88 days) to complete its orbit. Planets closer to the Sun have shorter orbits and take less time. Planet A is Mercury and Planet B is Saturn.","Planet A is closer. Closer planets have shorter orbits and take less time. Planet A (88 days) is Mercury; Planet B (29.5 years) is Saturn."
5.4,Medium,"Why is half of the Moon sometimes in darkness?","Think about where the Sun's light falls on the Moon.","The Sun only lights up the half of the Moon that faces it. The other half is turned away from the Sun and receives no light, so it is in darkness. This is the same reason we see different Moon phases.","The Sun only lights up the side of the Moon facing it. The other side is in darkness because no sunlight reaches it."
5.4,Medium,"Why can we see stars in the night sky but not during the day?","Think about how bright the Sun is compared to other stars.","Stars are always in the sky, but during the day the Sun's light is so bright that it makes the sky too light to see the faint light from distant stars. At night, the Sun is below the horizon so the sky is dark enough for us to see starlight.","During the day the Sun's brightness makes the sky too light. At night the sky is dark so we can see the faint light from distant stars."
5.4,Medium,"Mars has two moons. What do these moons orbit?","Think about what all moons do.","Moons orbit planets. Mars's two moons orbit Mars, going around it in a curved path, just as our Moon orbits Earth.","Mars's two moons orbit Mars (the planet)."
5.4,Medium,"If a planet is very far from the Sun, would it take more or less than one Earth year to orbit the Sun? Explain.","Think about the size of the orbit and how far the planet must travel.","It would take more than one Earth year. Planets further from the Sun have much larger orbits, so they have a longer distance to travel. For example, Neptune takes about 165 Earth years to orbit the Sun.","More than one Earth year, because the planet has a much larger orbit to travel."
5.4,Medium,"Why do scientists use models to study the solar system?","Think about how big the real solar system is.","The solar system is enormous — far too big to study directly. Models make everything much smaller so we can see the relationships between the Sun, planets, moons, and other bodies all at once.","The solar system is too enormous to observe all at once. Models shrink everything so we can see and understand the relationships between bodies."
5.5,Easy,"What causes day and night on Earth?","Think about the Earth moving — does it spin or stay still?","Day and night are caused by the Earth spinning on its axis. When your part of the Earth faces the Sun, it is day. When it turns away from the Sun, it is night.","The Earth spinning on its axis causes day and night."
5.5,Easy,"How long does the Earth take to spin once on its axis?","Think about how many hours are in one full day.","The Earth takes 24 hours to complete one full spin on its axis. This is why one day is 24 hours long.","24 hours."
5.5,Easy,"What is the Earth's axis?","Think about the stick through the middle of a globe.","The Earth's axis is an imaginary line that runs from the North Pole to the South Pole. The Earth spins around this line.","An imaginary line running from the North Pole to the South Pole that the Earth spins around."
5.5,Easy,"In which direction does the Earth spin — clockwise or anticlockwise?","Think about looking down at the North Pole from above.","If you look down at the North Pole from above, the Earth spins in an anticlockwise direction — the opposite way to the hands of a clock.","Anticlockwise (opposite to clock hands)."
5.5,Easy,"What is a globe?","Think about a round model you might see in a classroom.","A globe is a model of the Earth. It is shaped like a ball and has a stick through it representing the Earth's axis.","A globe is a ball-shaped model of the Earth."
5.5,Easy,"Is the Earth upright in space or tilted?","Think about how a globe looks — is the stick straight up and down?","The Earth is tilted in space. It leans over on its axis, just like a globe leans on its stick.","The Earth is tilted on its axis."
5.5,Easy,"When it is day on one half of the Earth, what is it on the other half?","Think about the Sun only shining on one side at a time.","When one half of the Earth faces the Sun and has day, the other half faces away from the Sun and has night. The Sun can only light up one half at a time.","It is night on the other half."
5.5,Easy,"Can the whole Earth be lit up by the Sun at one time?","Think about the shape of the Earth and where the Sun's light falls.","No, the whole Earth cannot be lit up at one time. The Sun can only shine on the half of the Earth that faces it. The other half is in darkness.","No, only the half facing the Sun is lit up."
5.5,Medium,"Ali lives in Malaysia and Farouk lives in Spain. Why shouldn't Ali phone Farouk at lunchtime in Malaysia?","Think about what time it would be in Spain when it is lunchtime in Malaysia.","Malaysia and Spain are on different sides of the Earth. When it is lunchtime (daytime) in Malaysia, it is the middle of the night in Spain. Farouk would be sleeping, so Ali should not call then.","When it is lunchtime in Malaysia, it is the middle of the night in Spain, so Farouk would be asleep."
5.5,Medium,"If the Earth completed one rotation every 10 hours instead of 24, how would day and night be different?","Think about how long daytime and nighttime would each last.","If the Earth spun once every 10 hours, each day would be only 10 hours long instead of 24. Daytime and nighttime would each be about 5 hours. Days would feel much shorter and the Sun would appear to move across the sky much faster.","Days would be only 10 hours long. Daytime and nighttime would each be about 5 hours — much shorter than now."
5.5,Medium,"Why does the Sun appear to move across the sky during the day?","Think about whether the Sun really moves or something else is happening.","The Sun does not actually move across the sky. It appears to move because the Earth is spinning on its axis. As the Earth rotates, different parts face the Sun, making it look like the Sun moves from east to west. This is called apparent movement.","The Sun appears to move because the Earth is spinning. This is called apparent movement — the Sun is not actually moving across the sky."
5.5,Medium,"Imagine you are an astronaut looking down at Earth from space. Describe what you would see regarding day and night.","Think about the Sun shining on only one side of the Earth.","You would see that the half of the Earth facing the Sun is bright (day) and the other half is dark (night). As the Earth slowly spins, the line between light and dark would move, showing different countries going from day to night.","Half the Earth would be lit up (day) and half would be dark (night). The Earth spins so different places move between day and night."
5.5,Medium,"Why do different countries have different times of day at the same moment?","Think about the Earth being round and spinning.","Because the Earth is round and spinning, different countries face the Sun at different times. When your country faces the Sun, it is daytime for you, but countries on the other side of the Earth are facing away from the Sun and having nighttime.","The Earth is round and spinning, so different countries face the Sun at different times, giving them different times of day."
5.6,Easy,"What causes shadows?","Think about what happens when something blocks light.","Shadows are caused when an object blocks light. The light cannot pass through the object, so a dark area (shadow) forms on the other side.","Shadows are caused when an object blocks light."
5.6,Easy,"Are shadows longer at midday or in the late afternoon?","Think about where the Sun is in the sky at different times.","Shadows are shorter at midday when the Sun is high in the sky, and longer in the late afternoon when the Sun is low in the sky.","Shadows are shorter at midday and longer in the late afternoon."
5.6,Easy,"When is a shadow the shortest during the day?","Think about when the Sun is at its highest point.","A shadow is shortest in the middle of the day (around midday) when the Sun is at its highest point in the sky.","In the middle of the day (midday)."
5.6,Easy,"When are shadows the longest during the day?","Think about when the Sun is lowest in the sky.","Shadows are longest at sunrise and sunset, when the Sun is very low in the sky.","At sunrise and sunset."
5.6,Easy,"What is 'apparent movement' of the Sun?","Think about whether the Sun really moves or just looks like it does.","Apparent movement means the Sun looks like it moves across the sky, but it does not really move. It only appears to move because the Earth is spinning on its axis.","The Sun appears to move across the sky, but it is actually the Earth spinning that causes this. It is not real movement."
5.6,Easy,"Why should you never look directly at the Sun?","Think about how bright the Sun is and how sensitive your eyes are.","The Sun is extremely bright. Looking directly at it can seriously damage your eyes and even cause blindness.","Looking directly at the Sun can damage your eyes."
5.6,Easy,"What happens to the direction of a shadow during the day?","Think about the Sun appearing to move from one side of the sky to the other.","As the Sun appears to move across the sky during the day, the direction of the shadow changes too. The shadow moves to the opposite side from where the Sun is.","The shadow changes direction during the day as the Sun appears to move across the sky."
5.6,Easy,"Why does repeating a shadow experiment on different days give more reliable data?","Think about what might stop you getting good results on one day.","Some days might be cloudy, which blocks the Sun and stops you measuring shadows. By repeating on different days, you get a more complete set of measurements and more reliable results.","Clouds may block the Sun on some days. Repeating the experiment gives more complete and reliable results."
5.6,Medium,"On a sunny day you measure your shadow at 9 AM, 12 PM, and 3 PM. Describe how your shadow changes.","Think about the Sun's position at each time and how that affects shadow length and direction.","At 9 AM the Sun is low, so your shadow is long. At 12 PM the Sun is high overhead, so your shadow is very short. At 3 PM the Sun is low again, so your shadow is long. The direction also changes — at 9 AM the shadow points one way, and at 3 PM it points the opposite way.","9 AM: long shadow. 12 PM: short shadow. 3 PM: long shadow again. The direction of the shadow also changes from one side to the other."
5.6,Medium,"Why do shadows change length during the day? Use your knowledge of the Earth's spinning to explain.","Think about what causes the Sun to appear at different heights in the sky.","The Earth spins on its axis, which makes the Sun appear at different heights in the sky throughout the day. When the Sun appears low (morning/evening), shadows are long. When the Sun appears high (midday), shadows are short. The Sun is not actually moving — it is the Earth's rotation.","The Earth's spinning makes the Sun appear at different heights. Low Sun = long shadows. High Sun = short shadows. This is apparent movement, not the Sun actually moving."
5.6,Medium,"Two students do the shadow stick experiment. Student A does it on a sunny day, and Student B does it on a partly cloudy day. Whose results will be more complete? Why?","Think about what happens to shadows when clouds cover the Sun.","Student A will have more complete results because the Sun is visible all day, allowing measurements every hour. Student B might miss some measurements when clouds block the Sun and no shadow is visible.","Student A (sunny day) — shadows are visible all day. Student B may miss measurements when clouds block the Sun."
5.6,Medium,"If you placed a stick in the ground at the North Pole and at the equator on the same day, would the shadow patterns be the same? Why or why not?","Think about how high the Sun gets in the sky at different places on Earth.","No, the patterns would be different. At the equator, the Sun gets very high overhead at midday, creating very short shadows. At the North Pole, the Sun stays low in the sky (depending on the season), so shadows would be much longer and behave differently.","No. The Sun reaches different heights at different places on Earth, so shadow lengths and patterns would differ."
5.6,Medium,"Explain why the shadow of a flagpole points in different directions at 8 AM and 4 PM.","Think about where the Sun is in the sky at 8 AM compared to 4 PM.","At 8 AM, the Sun is in the east, so the shadow points to the west. At 4 PM, the Sun is in the west, so the shadow points to the east. The Sun appears to move across the sky (apparent movement due to Earth spinning), which changes the shadow direction.","At 8 AM the Sun is in the east (shadow points west). At 4 PM the Sun is in the west (shadow points east). The Earth's spinning causes the Sun's apparent movement."
Project,Easy,"What do we call scientists who study space?","The name comes from the word 'astro' meaning star.","Scientists who study space are called astronomers.","Astronomers."
Project,Easy,"Who was the Egyptian astronomer who described how planets revolved around Earth?","He lived about two thousand years ago.","Ptolemy was the Egyptian astronomer who described how the Moon, Sun, planets and stars revolved around Earth.","Ptolemy."
Project,Easy,"What did Copernicus believe about the solar system?","He disagreed with earlier astronomers about what was at the centre.","Copernicus believed that the Earth and all other planets moved around the Sun, not the other way around. He wrote a book about this idea.","Copernicus believed that the Earth and all other planets moved around the Sun."
Project,Easy,"What instrument did Galileo use to study the sky?","Think about a tool that helps you see things that are far away.","Galileo used the newly invented telescope to study the sky. This helped him observe planets like Venus more closely.","The telescope."
Project,Easy,"What did Galileo notice about the planet Venus?","Think about how the Sun lights up different parts of Venus.","Galileo noticed that Venus had different sides lit up by the Sun at different times. This proved that Venus must move around the Sun.","Venus had different sides lit up by the Sun at different times, proving it moves around the Sun."
Project,Medium,"Long ago people believed the Earth was at the centre of the solar system. What evidence helped scientists like Copernicus and Galileo change this idea?","Think about what Galileo saw when he looked at Venus through his telescope.","Copernicus observed the movements of the planets and decided they orbited the Sun. Later, Galileo used a telescope and saw that Venus had different sides lit up at different times, which proved Venus orbited the Sun, not the Earth. This supported Copernicus's idea.","Copernicus observed planet movements. Galileo saw through his telescope that Venus had different sides lit up, proving it orbited the Sun."
Project,Medium,"Why was the invention of the telescope so important for astronomy?","Think about what astronomers could see before and after the telescope.","Before the telescope, astronomers could only see what was visible to the naked eye. The telescope let them see planets, moons, and stars in much more detail. Galileo used it to discover that Venus orbits the Sun, which changed our understanding of the solar system.","The telescope let astronomers see planets and stars in detail they could not see before, leading to discoveries that changed our understanding of the solar system."
Project,Medium,"The Indian astronomers Varahamihira and Bramagupta suggested the Earth was round. Why was this idea important?","Think about what people believed before — that the Earth was flat.","Before their suggestion, people believed the Earth was flat. The idea that the Earth was round was an important step toward understanding the true shape of our planet and how the solar system works.","It corrected the wrong belief that the Earth was flat, which was an important step toward understanding the solar system."
Review,Easy,"Match the word: What does 'reflect' mean?","Think about a ball bouncing off a wall.","Reflect means light bouncing off a surface. When light hits an object, it bounces (reflects) off it.","The action of light bouncing off a surface."
Review,Easy,"Match the word: What is a 'ray'?","Think about a narrow beam of light.","A ray is a line that light travels in. Light rays are straight lines moving from a source in all directions.","A line that light travels in."
Review,Easy,"Match the word: What does 'spin' mean?","Think about a top going round and round.","Spin means to go round and round very fast, like the Earth spins on its axis.","Go round and round very fast."
Review,Easy,"Match the word: What is a 'comet'?","Think about an icy object in space with a long tail.","A comet is a lump of ice and dirt that travels in a large orbit around the Sun.","A lump of ice and dirt that travels in a large orbit around the Sun."
Review,Easy,"Match the word: What does 'anticlockwise' mean?","Think about which direction clock hands move, then imagine the opposite.","Anticlockwise means in the opposite direction to a clock's hands. The Earth spins in an anticlockwise direction when viewed from the North Pole.","In the opposite direction to a clock's hands."
Review,Easy,"Which of these surfaces reflects light: muddy water, mirror, clear water, wood?","Think about which surfaces are smooth and shiny.","The mirror reflects light best because it is smooth and shiny. Clear water also reflects light fairly well. Muddy water and wood are poor reflectors — they absorb more light.","Mirror (best), clear water (fairly well). Muddy water and wood absorb light."
Review,Easy,"What does the Earth do to cause day and night?","Think about how the Earth moves every 24 hours.","The Earth spins on its axis once every 24 hours. This spinning causes day and night — when your side faces the Sun it is day, and when it turns away it is night.","The Earth spins on its axis."
Review,Easy,"Between 08:00 and midday, do shadows become shorter or longer?","Think about what the Sun does between morning and midday.","Between 08:00 and midday, shadows become shorter because the Sun rises higher in the sky.","Shorter."
Review,Easy,"Between midday and 16:00, do shadows become shorter or longer?","Think about what the Sun does in the afternoon.","Between midday and 16:00, shadows become longer because the Sun gets lower in the sky.","Longer."
Review,Easy,"The shadow is longest at ______ and ______.","Think about when the Sun is at its lowest in the sky.","Shadows are longest when the Sun is lowest — at sunrise and sunset.","Sunrise and sunset."
Review,Easy,"The shadow is shortest in the ______ of the day.","Think about when the Sun is highest.","The shadow is shortest in the middle of the day because that is when the Sun is highest in the sky.","Middle."
Review,Easy,"Changes in shadow length happen because: the Earth spins on its axis, or the Sun moves across the sky?","Think about what you learned about apparent movement.","The changes in shadow length happen because the Earth spins on its axis. The Sun does not actually move — it only appears to move (apparent movement).","The Earth spins on its axis."
Review,Medium,"Explain how Rachel can see her cat at night using a flashlight.","Think about: source → object → eyes.","The flashlight is the light source. Light travels from the flashlight to the cat. The light reflects off the cat and enters Rachel's eyes. This is how she sees the cat.","Light from the flashlight (source) travels to the cat (object), reflects off the cat, and enters Rachel's eyes."
Review,Medium,"Why could Emilio and Julio not see the light at the end of the tunnel at first?","Think about how long the tunnel is and how light travels.","The tunnel is 10 km long. Light travels in straight lines, and at the beginning of the tunnel, the boys were too far from the end to see the small point of light. As they drove closer, the light at the end became visible.","The tunnel was 10 km long. They were too far from the end to see the light at first. As they got closer the light became visible because light travels in straight lines."
Review,Medium,"Name all eight planets in our solar system in order from closest to furthest from the Sun.","Think: My Very Educated Mother Just Served Us Nachos.","The eight planets in order from the Sun are: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune.","Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune."
Review,Medium,"Explain the difference between an asteroid, a comet, and a moon.","Think about what each one is made of and what it orbits.","An asteroid is a rocky mass that orbits the Sun. A comet is made of ice and dirt and orbits the Sun in a large orbit with a long tail. A moon orbits a planet or asteroid, not the Sun directly.","Asteroid: rocky, orbits the Sun. Comet: ice and dirt, large orbit around the Sun, has a tail. Moon: orbits a planet or asteroid."
Review,Medium,"Draw or describe a ray diagram showing how you can see a book on a desk during daytime.","Think about the light source (Sun or lamp), the object (book), and your eyes.","The Sun (or room light) is the source. An arriving ray travels from the source to the book. The light reflects off the book and becomes a reflected ray. The reflected ray travels to your eyes. Draw straight lines with arrows: source → book → eyes.","Arriving ray: source (Sun/lamp) → book. Reflected ray: book → eyes. Both are straight lines with arrows showing direction."